epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12189.6,1.05851,0.52085,0.79893,0.87325,0.6121,0.69939,0.44496,0.99656,0.51327,0.80052,0.000742625,0.000742625,0.000742625
43,12471.7,1.04776,0.51317,0.79966,0.82381,0.59017,0.67608,0.43748,0.98445,0.51608,0.8016,0.00073025,0.00073025,0.00073025
44,12753.4,1.04989,0.51982,0.79868,0.77229,0.59843,0.67867,0.41434,1.02115,0.53335,0.80215,0.000717875,0.000717875,0.000717875
45,13032.8,1.07403,0.5289,0.79742,0.71244,0.62231,0.67314,0.41808,0.99374,0.51647,0.80042,0.0007055,0.0007055,0.0007055
46,13317.6,1.03727,0.51449,0.79795,0.71397,0.63121,0.68579,0.43302,0.98963,0.52176,0.79989,0.000693125,0.000693125,0.000693125
47,13611.2,1.03915,0.50774,0.79785,0.80843,0.59502,0.69304,0.42254,0.98752,0.52078,0.80029,0.00068075,0.00068075,0.00068075
48,13901.9,1.05077,0.51001,0.8009,0.81061,0.58924,0.68287,0.42822,1.0052,0.5215,0.80039,0.000668375,0.000668375,0.000668375
49,14187.2,1.04852,0.50564,0.79622,0.79369,0.64591,0.69877,0.45073,0.97374,0.49862,0.79946,0.000656,0.000656,0.000656
50,14470.8,1.01799,0.49642,0.79528,0.76233,0.59329,0.67672,0.43602,0.97362,0.51009,0.79942,0.000643625,0.000643625,0.000643625
51,14756.4,1.05442,0.50279,0.79592,0.7952,0.63608,0.70206,0.43784,0.98809,0.50275,0.79932,0.00063125,0.00063125,0.00063125
52,15039.6,1.02332,0.49675,0.79812,0.78054,0.59753,0.68375,0.43503,0.9861,0.51258,0.79686,0.000618875,0.000618875,0.000618875
53,15321.9,1.04897,0.50528,0.7985,0.79966,0.60111,0.67321,0.41543,1.03988,0.53014,0.80173,0.0006065,0.0006065,0.0006065
54,15606.4,1.01032,0.49209,0.79719,0.79202,0.65843,0.70119,0.44352,0.98708,0.49954,0.80029,0.000594125,0.000594125,0.000594125
55,15889.1,1.02072,0.48764,0.79685,0.77959,0.63905,0.69111,0.44638,0.97055,0.48981,0.7998,0.00058175,0.00058175,0.00058175
56,16171.2,1.00784,0.48509,0.79581,0.79611,0.64083,0.70292,0.4429,0.97609,0.50029,0.79843,0.000569375,0.000569375,0.000569375
57,16451.8,0.98496,0.4801,0.79599,0.75647,0.63688,0.67845,0.42754,0.95601,0.4941,0.79737,0.000557,0.000557,0.000557
58,16735.2,1.00704,0.48702,0.79418,0.69835,0.59527,0.67079,0.42797,0.98448,0.52094,0.79861,0.000544625,0.000544625,0.000544625
59,17024.1,0.97431,0.47222,0.79431,0.77339,0.64615,0.70484,0.44843,0.96156,0.48358,0.79651,0.00053225,0.00053225,0.00053225
60,17309.9,0.99185,0.47425,0.79331,0.78103,0.64257,0.70227,0.44945,0.95658,0.49536,0.79769,0.000519875,0.000519875,0.000519875
61,17603.1,0.98266,0.47386,0.79363,0.78954,0.66029,0.70785,0.4406,0.9924,0.51492,0.80081,0.0005075,0.0005075,0.0005075
62,17884.2,0.97459,0.46778,0.79302,0.76148,0.65099,0.69152,0.43206,0.98079,0.49961,0.7994,0.000495125,0.000495125,0.000495125
63,18171.8,0.99474,0.47698,0.79764,0.72951,0.65291,0.69618,0.43937,1.00046,0.50201,0.7993,0.00048275,0.00048275,0.00048275
64,18451.9,1.01869,0.47896,0.79455,0.75513,0.63442,0.68811,0.45085,0.98793,0.5043,0.79757,0.000470375,0.000470375,0.000470375
